,id,pixel_number
645,646,116950754
646,647,116789697
647,648,116599382
648,649,116306591
649,650,116467593
650,651,116277291
651,652,116116242
652,653,116057665
653,654,115633122
654,655,115984446
655,656,115589179
656,657,115135358
657,658,116980051
658,659,116687245
659,660,116731177
660,661,116775104
661,662,116628745
662,663,116584805
663,664,116496973
664,665,115926016
665,666,116072407
666,667,115999223
667,668,115911373
668,669,115779620
669,670,116584776
670,671,116467651
671,672,116116284
672,673,116189491
673,674,115472170
674,675,115852763
675,676,115838142
676,677,115720993
677,678,115735649
678,679,115603883
679,680,115413556
680,681,115120771
681,682,115091501
682,683,114959760
683,684,117785270
684,685,117887724
685,686,117917000
686,687,118224317
687,688,116658167
