code_uwwtp;cod_aca;nom_edar;cabal_diari;dbo5;ton;top
ES9170330001010E;DCMV;CALDES DE MALAVELLA;1817,051069;128,59;37,34335739;5,484523747
ES9080330001010E;DCDM;CALDES DE MONTBUI;3990,90626;218,28;40,15916036;5,469393101
ES9430380002020E;DCMN;CAMBRILS;12460,74032;301,80;59,052007;10,50000002
ES9170390003010E;DCAM;CAMPRODON;2133,462333;86,82;22,30638929;2,952777785
ES9080750005010E;DDOS;CAN MASSUET- EL FAR;438,3131946;296,26;60,78706649;21,16780568
ES9080420001010E;DCIS;CÀNOVES I SAMALÚS;1098,817528;161,35;46,19237186;6,415537098
ES9080470002010E;DCDN;CARDONA;590,7719726;363,66;69,15158787;10,68528238
ES9080480001010E;DCARM;CARME;273,9839847;106,34;29,03461099;3,293518527
ES9170440001010E;DCDS;CASSÀ DE LA SELVA;3402,641315;288,84;50,06374569;7,763119686
ES9080490002010E;DCSRS;CASSERRES;319,1560038;250,15;79,91458273;11,06208324
ES9080510004010E;DCDV;CASTELLAR DEL VALLÈS;4431,587996;285,72;52,54993956;8,359603825
ES9080530002010E;DCIV;CASTELLBELL I EL VILAR;2462,809303;191,62;50,38636367;9,734058104
ES9170460001010E;DCDR;CASTELLFOLLIT DE LA ROCA;424,4928758;393,89;88,00124836;11,85833331
ES9170480002010E;DCPA;CASTELL-PLATJA D'ARO;13099,53107;198,25;45,65330311;5,960535677
ES9170490001010E;DCLR;CELRÀ;1986,760004;324,46;74,24458299;10,52300003
ES9080670001010E;DCTS;CENTELLES;3101,460445;197,15;36,68015704;8,534592521
ES9082680005010E;DCRC;CERCS;449,4420078;202,49;34,45291674;5,858333205
ES9080740001020E;DCUB;CUBELLES I CUNIT;6394,590064;548,73;61,95797166;9,616787437
ES9170470001011E;DEPB;EMPURIABRAVA;3932,291045;204,87;39,8358576;6,403567011
ES9170620004010E;DECL;ESCALA, L';5173,252075;142,31;55,36071423;7,928571446
ES9430540002010E;DESP;ESPLUGA DE FRANCOLÍ, L';1439,062844;131,32;40,55587472;5,521666774
ES9170660001010E;DFIG;FIGUERES;12745,90913;350,30;51,38896018;9,311402677
ES9170670003010E;DFLC;FLAÇÀ;324,7483353;168,63;0;0
ES9080830001010E;DFOL;FOLGUEROLES;488,0301108;288,62;64,86666584;10,20416669
ES9080880001010E;DGAR;GARRIGA, LA;3078,736411;283,77;49,79163573;8,106687117
ES9083010001010E;DGVC;GAVÀ/VILADECANS;40006,24938;321,84;71,51440634;8,494761895
ES9080910001010E;DGEL;GELIDA;1116,018441;243,73;45,30916627;7,524999996
ES9170790005010E;DGIR;GIRONA;41188,32591;181,37;35,05342867;5,26962109
ES9080920002010E;DGRN;GIRONELLA;1137,827466;149,52;37,20916629;4,162500054
ES9080960001010E;DGRA;GRANOLLERS;21211,50757;306,42;55,70351674;11,91930283
ES9431620001010E;DVND;HOSPITALET DE L'INFANT, L';978,6927655;269,92;70,81875078;10,19166665
ES9081620002010E;DHOP;HOSTALETS DE PIEROLA, ELS;189,0584611;354,25;86,06462075;9,549304464
ES9170830001010E;DHTR;HOSTALRIC;871,4906505;393,65;73,18380016;12,3880001
ES9083020001010E;DIGU;IGUALADA;19864,96314;204,59;47,72464665;11,28384022
ES9170860002010E;DJON;JONQUERA, LA;1923,002455;235,70;53,53670013;5,954611124
ES9081050001010E;DLLL;LLAGOSTA, LA;31191,73195;265,62;59,89716226;7,841781284
ES9170920009040E;DLLN;LLANÇÀ;2290,511809;180,80;53,22500038;6,083333294
ES9430740001020E;DLDP;LLORENÇ DEL PENEDÈS;332,8266208;372,91;85,33916696;8,670833349
ES9170950005010E;DLDM;LLORET DE MAR;11180,21994;275,24;64;6
ES9171030006010E;DMDS;MAÇANET DE LA SELVA;942,1849703;410,48;58,8821447;6,745636305
ES9171030007010E;DMDSB;MAÇANET RESIDENCIAL;803,3743199;92,28;20,45911063;3,638333323
ES9081120001010E;DMAN;MANLLEU;6539,131433;205,01;36,2146744;6,535729503
ES9081130006010E;DMAS;MANRESA;24016,17483;225,53;32,33807019;6,815576868
ES9081140002010E;DMRT;MARTORELL;7103,52965;297,91;51,15712681;8,902223155
ES9081190002010E;DMSF;MASQUEFA;1225,057371;227,22;66,54120063;10,19035167
ES9081200001100E;DMTP;MATADEPERA;648,534403;241,47;56,95200033;8,118333256
ES9081210001010E;DMAT;MATARÓ;23520,12952;429,57;70,63084191;5,938755981
ES9081380001010E;DMOI;MOIÀ;2087,373571;233,17;46,68999498;6,073232616
ES9081270001010E;DMON;MONISTROL DE MONTSERRAT;2078,870047;183,32;36,83916268;6,647544539
ES9430860003010E;DMOB;MONTBLANC;1312,106458;273,74;51,37638881;11,27250002
ES9430880001010E;DMTB;MONTBRIÓ DEL CAMP;370,8660459;370,11;0;0
ES9081250002010E;DMIR;MONTCADA;51226,47164;318,34;57,15952412;8,005585162
ES9081360001010E;DMDV;MONTORNÈS DEL VALLÈS;29671,86926;272,06;46,5000086;8,188554119
ES9430920002010E;DMRCP;MONT-ROIG DEL CAMP (POBLE);750;368,45;56,2504164;8,391666651
ES9430920002011E;DMRCR;MONT-ROIG DEL CAMP (RIFA);300;132,56;61,21500158;6,7625
ES9082130003010E;DNFP;NAVARCLES/SANT FRUITÓS/SANTPEDOR;5150,384706;251,23;38,85379057;8,483797699
ES9080180002010E;DNAV;NAVÀS;929,3830145;268,84;41,30006607;7,572999954
ES9171140003010E;DOLO;OLOT;14349,34118;265,36;46,35083785;9,180217793
ES9171100007010E;DPAM;PALAMÓS;16578,10656;248,49;56,30267844;8,134553634
ES9171200001010E;DPSV;PALAU-SAVERDERA;564,0648028;244,93;47,53571456;5,721428531
ES9171240005010E;DPAL;PALS;1781,10176;124,37;40,04821391;7,553571433
ES9117103001000E;DMDSP;PANTANS DE MONTBARBAT;338,1523114;156,52;41,04294074;5,239088338
ES9171320001010E;DPRL;PERALADA;494,8223207;356,40;42,81900857;4,729923411
ES9179020202010E;DFRLP;PERATALLADA;70,50835399;335,75;12,60000038;1,5
ES9431040002020E;DPER;PERELLÓ, EL;350,5808573;384,22;57,99874949;7,787500024
ES9081610008010E;DPIE;PIERA;3004,309083;182,64;51,3577036;7,056892465
ES9431080001010E;DPDM;PLA DE SANTA MARIA, EL;354,4611818;241,71;83,08930726;7,58166668
ES9171330008010E;DLPH;PLANES D'HOSTOLES, LES;891,3403609;172,60;36,14464281;6,257142861
ES9081660001010E;DPOBL;POBLA DE LILLET;302,170174;75,13;5,970000267;3,900000095
ES9431090001010E;DLPM;POBLA DE MAFUMET, LA;1193,872047;463,48;94,27291632;16,43229181
ES9081390002010E;DPDV;PONT DE VILOMARA, EL;497,680057;339,30;52,46789604;20,87856057
ES9171380001010E;DPOB;PORTBOU;229,1375144;303,58;75,40999947;8,075000048
ES9171400012010E;DPDS;PORT DE LA SELVA, EL;583,8744197;163,27;47,42857105;5,553571318
ES9081690001010E;DPDL;PRAT DE LLOBREGAT, EL;252625,6667;371,46;54,53018429;10,18003957
ES9081710001010E;DPLL;PRATS DEL LLUÇANÈS;529,439317;241,38;58,68374983;6,762499924
ES9081750001010E;DPGR;PUIG-REIG;619,5370244;285,67;66,96333202;10,48749997
ES9117142000601E;DQRT1;QUART;588,4374676;343,89;68,19999695;6,690000057
ES9431230006010E;DRUS;REUS;17535,83176;378,58;76,17695367;9,988915205
ES9171450005010E;DRIF;RIBES DE FRESER;2140,884827;44,22;12,29500024;1,448888875
ES9171460006010E;DRIE;RIELLS I VIABREA;1015,828392;131,81;37,82511135;4,906111088
ES9431400003010E;DVEN;RIERA DE LA BISBAL (EL VENDRELL);12702,22383;241,96;62,50870759;9,652998211
ES9171470007010E;DRIP;RIPOLL;7476,751216;95,48;18,35679102;3,003713197
ES9082870007010E;DRBT;RIUDEBITLLES;1316,416866;208,40;54,57018499;9,440101002
ES9171500001010E;DRDS;RIUDELLOTS DE LA SELVA;1147,956374;241,31;37,58905844;11,81992066
ES9431290001010E;DRIU;RIUDOMS;873,8077326;483,69;86,69045629;13,9177272
ES9080460001010E;DRDV;ROCA DEL VALLÈS, LA;7160,811754;216,91;43,75753079;7,437746159
ES9081830001010E;DRDT;RODA DE TER;1150,081301;282,94;57,49545357;6,501136363
ES9171520008010E;DRSS;ROSES;8538,026218;173,55;37,25;3,799999952
ES9081840001010E;DRUB;RUBÍ;22485,71193;269,46;52,81589542;6,921054453
ES9081870004010E;DSRR;SABADELL/RIU RIPOLL;14827,63423;289,22;54,99350238;8,862798783
ES9081870001010E;DSRS;SABADELL/RIU SEC;25346,58372;350,23;70,01209923;11,39146711
ES9081910004010E;DSLL;SALLENT/ARTÉS;2476,143583;241,77;48,37837485;11,2388103
ES9171800004010E;DSCF;SANTA COLOMA DE FARNERS;2682,934619;279,94;55,11335366;10,32035611
ES9431390004010E;DSCQ;SANTA COLOMA DE QUERALT;1188,846793;102,81;35,9580499;3,420000027
ES9081070012010E;DSER;SANTA EULÀLIA DE RONÇANA;2892,545273;174,89;45,35789913;8,829043841
ES9082540003000E;DSMC;SANTA MARIA DE CORCÓ-L'ESQUIROL;335,487004;262,91;60,30605958;7,680303093
ES9082590005010E;DSMP;SANTA MARIA DE PALAUTORDERA;2278,130486;224,04;44,21862309;5,536452064
ES9081970001010E;DSAN;SANT ANDREU DE LLAVANERES;4626,422176;350,88;63,31796359;7,116244546
ES9081980007010E;DSAV;SANT ANTONI DE VILAMAJOR;1683,672194;220,59;54,03555573;6,251066929
ES9082020006010E;DSCE;SANT CELONI;4872,887205;212,32;38,18331189;6,454290629
ES9082100001010E;DSFC;SANT FELIU DE CODINES;1349,813507;185,82;40,13925207;5,566318827
ES9082110001010E;DSFL;SANT FELIU DE LLOBREGAT;50311,81383;245,67;46,3715308;6,080694597
ES9171630006010E;DSGR;SANT GREGORI;240;295,28;75,26785823;9,242857116
ES9171640001010E;DSHS;SANT HILARI SACALM;1500,344767;270,34;54,95077922;7,012738011
ES9171650003010E;DSJL;SANT JAUME DE LLIERCA;949,257524;184,56;46,35000065;5,252380961
ES9431370002010E;DSJDC;SANT JAUME DELS DOMENYS (CORNUDELLA);217,8125642;572,41;72,14458342;9,612500012
ES9171670007010E;DSJA;SANT JOAN DE LES ABADESSES;912,087265;268,05;59,10444307;7,199999981
ES9171850006010E;DSJF;SANT JOAN LES FONTS;1590,275679;214,76;31,75535761;5,080357117
ES9251930001010E;DSLO;SANT LLORENÇ DE MORUNYS;244,7052331;450,42;71,60071306;9,001747082
ES9082220003010E;DSLH;SANT LLORENÇ D'HORTONS;331,2636491;280,18;66,99486128;9,719583299
ES9082230001010E;DSLS;SANT LLORENÇ SAVALL;401,3122981;353,45;75,90570847;9,011341968
ES9082350001030E;DSPM;SANT POL DE MAR;3768,381141;224,36;45,22672256;4,47260684
ES9082360001010E;DSQB;SANT QUIRZE DE BESORA;383,8479115;131,27;0;0
ES9082390001010E;DSQS;SANT QUIRZE SAFAJA;963,6522739;282,63;39,9645261;4,856634321
ES9082400005010E;DSSD;SANT SADURNÍ D'ANOIA;2379,131122;412,55;60,4286105;13,53915023
ES9080980004010E;DSSG;SANT SALVADOR DE GUARDIOLA;519,0291972;225,38;35,06345171;7,798166686
ES9431450003010E;DSDC;SELVA DEL CAMP, LA;639,2762047;325,73;86,91750026;9,835416704
ES9082690001010E;DSEV;SEVA;354,3542485;170,37;64,76249905;7,295833404
ES9171930002010E;DSIV;SILS-VIDRERES;3569,914252;216,15;37,66892523;10,18267109
ES9082700003010E;DSITR;SITGES-SANT PERE DE RIBES;9695,513361;274,53;66,02401921;10,72185605
ES9431470001010E;DSLV;SOLIVELLA;95,05096617;367,60;61,04033311;7,347500006
ES9252070001020E;DSOL;SOLSONA;2375,509739;258,34;49,35091674;8,911572207
ES9082740001010E;DSUR;SÚRIA;1671,381483;229,38;69,63041687;13,85416675
ES9082780005010E;DTAL;TARADELL;1511,954381;254,76;47,9041663;5,087500016
ES9431480013010E;DTAR;TARRAGONA;24051,03174;353,48;74,56089112;16,56723482
ES9082810001020E;DTEI;TEIÀ-MARESME SUD;13934,29128;391,82;67,97906629;11,20647539
ES9172130009010E;DVIDT;TERRAFORTUNA;567,1511649;86,22;28,94074463;4,024560386
ES9082790004050E;DTRS;TERRASSA;39176,84699;287,74;52,32283064;7,169820785
ES9082830001010E;DTON;TONA;1527,919265;384,75;75,21249882;8,970833321
ES9082840001030E;DTOR;TORDERA;2579,347759;308,94;50,15581011;9,032438096
ES9431530004010E;DTRR;TORREDEMBARRA;7561,362326;246,52;54,64512008;7,963937754
ES9171990004020E;DTMN;TORROELLA DE MONTGRÍ;6189,220681;119,28;27,24245376;4,754747458
ES9172020009010E;DTOS;TOSSA DE MAR;2059,324012;315,79;60,6917582;7,567033038
ES9082910001010E;DVQR;VACARISSES;535,9620229;176,44;59,45329657;7,135704666
ES9080440001010E;DCAP;VALLBONA D'ANOIA;6193,661046;304,72;44,54561328;6,475534282
ES9082850002010E;DVGE;VALL DEL GES-TORELLÓ;5055,86908;314,73;48,59873258;17,58367715
ES9431610004010E;DVAL;VALLS POBLE;8164,185653;81,93;19,32291676;2,812812506
ES9082050005010E;DVVR;VALLVIDRERA;789,4182594;253,36;53,50416736;6,147499997
ES9082980001010E;DVIC;VIC;21992,93528;441,92;58,74641737;12,59512532
ES9083000004010E;DVDCE;VILADECAVALLS (EST);1454,743883;137,57;36,32833567;5,883906541
ES9083050005010E;DVDP;VILAFRANCA DEL PENEDÈS;12457,39893;279,94;49,99030104;7,263655403
ES9083060001010E;DVLBA;VILALBA SASSERRA;665,4794391;148,45;42,83601668;7,667007622
ES9081810001010E;DCAR;VILANOVA DEL VALLÈS;4285,556515;191,49;39,59693675;7,752775188
ES9083070001010E;DVLG;VILANOVA I LA GELTRÚ;14693,18543;297,65;71,05175708;10,01131799
ES9439050001030E;DVLC;VILA-SECA/SALOU;28692,89784;182,03;55,18068044;6,526319203
ES9172330003010E;DVDO;VILOBÍ D'ONYAR;415,5354715;284,07;89,57844484;12,2400001
