id,name,gis_id,lat,lon,utm_x,utm_y,edar_name,edar_code,ind_id,capt_id,delete
1,pt0008,8,42.2542808511100,3.07216058211613,505952.316451,4678011.884431,,,,,yes
2,pt0010,10,42.2438402552367,2.97448587690088,497895.067187,4676850.421181,,,526,,no
3,pt0012,12,42.2379549443411,2.96920966769659,497459.540199,4676197.098102,,,,,yes
4,pt0014,14,42.2922222120075,3.00880656822616,500725.992604,4682222.188714,,,,,yes
5,pt0016,16,42.3157290953762,2.91808273053578,493249.445989,4684835.481027,,,523,,no
6,pt0018,18,42.3346321003961,2.85990498513753,488458.649129,4686940.633168,,,,,yes
7,pt0020,20,42.2682213558880,2.15942851144630,430678.735484,4679899.262213,,,492,,no
8,pt0022,22,42.3404806502905,2.83345627634252,486281.014193,4687593.956247,,,524,,no
9,pt0024,24,42.2686257498346,2.59511444447310,466609.711934,4679681.487853,,,550,,no
10,pt0026,26,42.2995834047169,2.35891077896533,447156.173169,4683238.469058,EDAR CAMPRODON,ES9170390003010E,503,,no
11,pt0028,28,42.3126923357640,2.36494334256715,447664.287988,4684690.298121,,,506,,no
12,pt0030,30,42.3112877702839,2.14828638864155,429807.681509,4684690.298121,,,494,,no
13,pt0032,32,42.3184819963740,2.34814842957694,446285.119195,4685343.621199,,,504,,no
14,pt0034,34,42.3168578203542,2.78154777630950,481998.332151,4684980.663933,,,,,yes
15,pt0036,36,42.3136150039768,2.11038032529850,426686.404767,4684980.663933,,,495,,no
16,pt0038,38,42.2843385694804,3.09420508058143,507767.012232,4681351.091276,,,514,,no
17,pt0040,40,42.3620847670728,3.14456622620280,511904.518611,4689989.474200,,,513,,no
18,pt0042,42,42.3006891270493,3.08630372518111,507113.721751,4683165.877605,,,515,,no
19,pt0044,44,42.4046040053179,2.87650907824979,489837.817922,4694707.918655,"EDAR JONQUERA, LA",ES9170860002010E,519,,no
20,pt0046,46,42.3456190349046,2.40955620701351,451366.267379,4688319.870778,,,505,,no
21,pt0048,48,42.2522600704867,2.86272730550647,488676.412623,4677794.110072,,,527,,no
22,pt0050,50,42.4301636531227,3.02823967050480,502322.924891,4697538.985328,,,,,yes
23,pt0052,52,42.2627109269124,2.41814816525106,452011.048324,4679109.266189,,,,,yes
24,pt0054,54,42.2459527679518,2.65949016003048,471908.623613,4677140.786993,,,,,yes
25,pt0056,56,42.3123498806164,1.98328376477458,416210.595069,4684957.500773,,,,,yes
26,pt0058,58,42.3264339167208,2.58020351697738,465411.678728,4686106.165465,,,,,yes
27,pt0060,60,42.3627418379564,2.85807954915391,488313.473467,4690062.065654,,,,,yes
28,pt0062,62,42.3529702492400,3.11017208487119,509073.593193,4688973.193856,,,,,yes
29,pt0064,64,42.0352152103252,3.12540690515184,510380.174155,4653693.747626,,,,,yes
30,pt0066,66,42.0568538151772,2.96491100466579,497096.601043,4656089.265580,,,,,yes
31,pt0068,68,42.0620497424940,2.90437231360905,492088.040690,4656669.997205,,,579,,no
32,pt0070,70,42.0273146133428,2.83164559342454,486063.250699,4652822.650189,EDAR GIRONA,ES9170790005010E,414,,no
33,pt0072,72,42.0122639783416,2.82291882796223,485337.372387,4651153.046766,,,415,,no
34,pt0074,74,42.2457574383791,3.10382624758024,508565.478375,4677068.195540,EDAR EMPURIABRAVA,ES9170470001011E,,,no
35,pt0076,76,42.1686536262056,3.03163827204398,502613.276215,4668502.404069,,,576,,no
36,pt0078,78,42.1680020974568,2.97803154772487,498185.418512,4668429.812615,,,575,,no
37,pt0080,80,42.1770940351677,2.87958944755373,490055.581416,4669446.092959,,,572,,no
38,pt0082,82,42.1698908396193,2.86905727727763,489184.527441,4668647.586975,,,570,,no
39,pt0084,84,42.0366939022347,2.24053721372169,437139.052462,4654129.296345,,,476,,no
40,pt0086,86,42.1776344548697,2.79872719017978,483377.500944,4669518.684413,,,566,,no
41,pt0088,88,42.1828358628031,2.78288872571027,482070.919982,4670099.416038,,,567,,no
42,pt0090,90,42.0425949882818,2.24309810574930,437356.815955,4654782.619424,,,,,yes
43,pt0092,92,42.1900070028803,2.77231501702837,481199.866008,4670897.922022,,,559,,no
44,pt0094,94,42.0485075309604,2.24741360162669,437719.755112,4655435.942502,EDAR VALL DEL GES-TORELL?Ù,ES9082850002010E,,,no
45,pt0096,96,42.0758893506149,2.23568248872699,436776.113306,4658484.783534,,,482,,no
46,pt0098,98,42.2021935472205,2.67467273684080,473142.616743,4672277.159632,,,556,,no
47,pt0100,100,42.2111038495527,2.59812018320084,466827.475428,4673293.439976,,,545,,no
48,pt0102,102,42.1384814282643,2.21033566544796,434743.654032,4665453.563036,,,,,yes
49,pt0104,104,42.1501938389682,2.20228325102140,434090.363551,4666760.209193,,,487,,no
50,pt0106,106,42.2220416154924,2.55055566690082,462907.732542,4674527.494680,EDAR CASTELLFOLLIT DE LA ROCA,ES9170460001010E,,,no
51,pt0108,108,42.1665308611572,2.20119926243212,434017.775720,4668574.995522,EDAR RIPOLL,ES9171470007010E,,,no
52,pt0110,110,42.1723652063529,2.19409508839919,433437.073070,4669228.318600,,,,,yes
53,pt0112,112,42.2159921355850,2.51014360957051,459568.692306,4673874.171602,,,617,,no
54,pt0114,114,42.2169465208736,2.21199719255789,434961.417525,4674164.537414,,,498,,no
55,pt0116,116,42.2144719984536,2.46266592799976,455648.949421,4673728.988695,,,578,,no
56,pt0118,118,42.2055610255722,2.17344928187582,431767.552952,4672930.482711,,,489,,no
57,pt0120,120,42.0346144240512,3.05963421924595,504936.086814,4653621.156173,,,391,,no
58,pt0122,122,42.1894712423240,2.84264415961123,487006.892505,4670825.330569,,,,,yes
59,pt0124,124,42.2202592296502,2.44238804769379,453979.429303,4674382.311774,,,540,,no
60,pt0126,126,42.2145796433819,2.66229705230223,472126.387106,4673656.397242,,,554,,no
61,pt0128,128,42.2264264478870,2.26113665279084,439026.336073,4675180.817758,,,500,,no
62,pt0130,130,42.2209438362018,2.60773256623826,467625.941571,4674382.311774,,,546,,no
63,pt0132,132,42.2284995997459,2.27870497598148,440478.092698,4675398.592118,EDAR SANT JOAN DE LES ABADESSES,ES9171670007010E,,,no
64,pt0134,134,42.2333683914156,2.60853533549564,467698.529402,4675761.549383,,,547,,no
65,pt0136,136,42.2499561176345,2.16495060333740,431114.262471,4677866.701525,,,,,yes
66,pt0138,138,42.2477361029144,2.60404702851948,467335.590246,4677358.561353,,,548,,no
67,pt0140,140,42.2407252345334,2.66039806868430,471981.211444,4676560.055368,,,553,,no
68,pt0142,142,42.2480167479691,2.08226623458400,424291.006337,4677721.518618,,,,,yes
69,pt0144,144,42.2183903301081,2.80739272894927,484103.379256,4674042.270135,,,,,yes
70,pt0146,146,42.1762064726653,2.73896609010018,478441.528422,4669373.501506,,,560,,no
71,pt0148,148,42.1696483378007,2.73020490249367,477715.650110,4668647.586975,,,,,yes
72,pt0150,150,42.0499287113460,2.26493995324718,439171.511736,4655581.125408,,,,,yes
73,pt0152,152,42.2002563836436,2.49971432760147,458697.638332,4672131.976726,,,,,yes
74,pt0154,154,42.2359912060548,2.96129299764674,496806.249718,4675979.323743,,,595,,no
75,pt0156,156,42.1799550537493,2.49196379134661,458044.347851,4669881.641678,,,537,,no
76,pt0158,158,42.2242158707047,2.94370873993907,495354.493094,4674672.677586,,,529,,no
77,pt0160,160,42.1753631060985,2.48848497798693,457753.996526,4669373.501506,,,536,,no
78,pt0162,162,42.0809336661906,2.83676947420870,486498.777686,4658775.149347,,,,,yes
79,pt0164,164,42.0710787835666,2.30154879230516,442220.200647,4657904.051909,,,479,,no
80,pt0166,166,42.2119578525695,2.48467220928598,457463.645201,4673438.622883,,,543,,no
81,pt0168,168,42.2028327358729,2.49090127728448,457971.760020,4672422.342539,EDAR OLOT,ES9171140003010E,542,,no
82,pt0170,170,42.1470725574783,2.45005878816668,454560.131953,4666252.069021,,,,,yes
83,pt0172,172,42.0528743734494,2.88070155656419,490128.169247,4655653.716861,,,,,yes
84,pt0174,174,42.1424452309280,2.43955760504259,453689.077978,4665743.928849,,,532,,no
85,pt0176,176,42.0106820041298,2.50558568694668,459060.577488,4651080.455313,,,455,,no
86,pt0178,178,42.0692684843863,2.94560070178583,495499.668757,4657468.503190,,,400,,no
87,pt0180,180,42.0959956815906,2.85516462084437,488023.122142,4660444.752769,,,406,,no
88,pt0182,182,42.1813558447946,2.70554377396624,475683.190836,4669954.233132,,,558,,no
89,pt0184,184,42.0178470900562,2.36700865092537,447591.700156,4651951.552751,EDAR SANTA MARIA DE CORC?Ù-L'ESQUIROL,ES9082540003000E,456,,no
90,pt0186,186,42.1248320178332,2.44761659934733,454342.368459,4663783.959614,,,596,,no
91,pt0188,188,42.2110771844863,2.86721346368384,489039.351779,4673220.848523,,,530,,no
92,pt0190,190,42.1556168544915,2.62307278833557,468859.934702,4667123.166459,,,564,,no
93,pt0192,192,42.1468353765270,2.40262204794998,450640.389067,4666252.069021,,,535,,no
94,pt0194,194,42.0270238903873,2.37130183925658,447954.639312,4652967.833095,,,,,yes
95,pt0196,196,42.0822244617233,2.82535725644511,485555.135881,4658920.332253,,,,,yes
96,pt0198,198,42.0118000499910,2.33813968503568,445196.301726,4651298.229672,,,580,,no
97,pt0200,200,42.1447812969156,2.38507201402745,449188.632443,4666034.294662,,,534,,no
98,pt0202,202,42.0765170521084,2.33659011134512,445123.713895,4658484.783534,,,,,yes
99,pt0204,204,42.0164217242093,2.47310333740434,456374.827733,4651733.778391,,,,,yes
100,pt0206,206,42.0228415932707,2.93248841890409,494410.851288,4652314.510016,,,,,yes
101,pt0208,208,42.1429564158271,2.55638609187361,463343.259530,4665743.928849,,,619,,no
102,pt0210,210,42.1934129394530,2.31414142100592,443371.020221,4671478.653648,,,,,yes
103,pt0212,212,42.0428461375622,2.39570359617715,449987.098586,4654710.027970,,,457,,no
104,pt0214,214,42.1206917416100,2.76553822384049,480619.163358,4663203.227989,,,412,,no
105,pt0216,216,42.1359001658198,2.31752547116344,443599.369440,4665090.605771,,,480,,no
106,pt0218,218,42.0333383922154,2.45895464964809,455215.237048,4653619.341469,,,,,yes
107,pt0220,220,42.0049666054058,2.19007550297114,432928.958252,4650644.906594,,,,,yes
108,pt0222,222,42.0908502550159,2.37122043873525,448000.001360,4660054.568361,,,,,yes
109,pt0224,224,42.0738233666677,2.60249735436378,467117.826753,4658049.234815,,,,,yes
110,pt0226,226,42.1185416574307,2.68034678971229,473576.257472,4662987.339982,,,,,yes
111,pt0228,228,42.1180253002231,2.18336878912104,432493.431264,4663203.227989,,,,,yes
112,pt0230,230,42.1026984783635,2.23623845718023,436848.701137,4661461.033113,,,,,yes
113,pt0232,232,42.1081613061211,2.84140947904093,486888.174059,4661797.531842,,,,,yes
114,pt0234,234,42.1758951811913,2.67677093392176,473304.770625,4669356.522440,,,,,yes
115,pt0236,236,41.9840761691674,2.78006026103654,481780.568658,4648031.614281,,,439,,no
116,pt0238,238,41.9853562327918,2.28934250545871,441131.383179,4648394.571546,,,597,,no
117,pt0240,240,41.9879276533792,2.28230346414082,440550.680529,4648684.937359,,,,6,no
118,pt0242,242,41.9840376181400,2.76078270924926,480183.636371,4648031.614281,EDAR SANT GREGORI,ES9171630006010E,,,no
119,pt0244,244,41.9908143388255,2.22355598141871,435687.295838,4649047.894625,,,474,,no
120,pt0246,246,42.0214804907105,2.59142551415363,466174.184947,4652241.918563,,,448,,no
121,pt0248,248,42.0037022470310,2.19622717700542,433437.073070,4650499.723688,,,,,yes
122,pt0250,250,42.0167276852596,2.76066023936434,480183.636371,4651661.186938,,,,,yes
123,pt0252,252,42.0056901173733,2.41709258079265,451729.206536,4650572.315141,,,581,,no
124,pt0254,254,41.9900346477836,2.82298045106220,485337.372387,4648684.937359,,,416,,no
125,pt0256,256,41.9749997982619,2.82477436007452,485482.548049,4647015.333937,,,,,yes
126,pt0258,258,41.9717475798981,2.83617244726018,486426.189855,4646652.376671,,,,,yes
127,pt0260,260,41.9665280950152,2.84406998935898,487079.480336,4646071.645046,EDAR QUART,ES9117142000601E,,,no
128,pt0262,262,41.9608084382474,2.63035463142660,469368.049520,4645490.913421,,,,,yes
129,pt0264,264,41.9840541365877,2.29023323829041,441203.971010,4648249.388640,,,,,yes
130,pt0266,266,41.9645288447188,2.42272385312762,452164.733523,4645999.053593,,,458,,no
131,pt0268,268,41.8060817462256,2.70988993156838,475900.954329,4628286.739024,,,375,,no
132,pt0270,270,41.7645015926387,2.58345407065496,465375.718803,4623713.477476,,,,,yes
133,pt0272,272,41.7703732203517,2.57992271688693,465085.367479,4624366.800554,,,351,,no
134,pt0274,274,41.9063359885117,2.81621028974411,484756.669737,4639393.231356,,,,,yes
135,pt0276,276,41.9646660811657,3.03854509973735,503193.978865,4645853.870686,,,,,yes
136,pt0278,278,41.8116671283168,3.05156182806519,504282.796333,4628867.470650,,,383,,no
137,pt0280,280,41.8984902099376,2.81623278758173,484756.669737,4638522.133918,,,424,,no
138,pt0282,282,41.8978405655041,2.81885988803881,484974.433231,4638449.542465,,,426,,no
139,pt0284,284,41.8919548396196,2.81800151894725,484901.845400,4637796.219387,,,434,,no
140,pt0286,286,41.9515928929737,3.02802744719422,502322.924891,4644402.041623,,,,,yes
141,pt0288,288,41.8123245468505,3.04282320646360,503556.918021,4628940.062103,,,,,yes
142,pt0290,290,41.8886642100401,2.80488654842522,483813.027931,4637433.262121,,,427,,no
143,pt0292,292,41.8380544117820,2.68526619801620,473868.495055,4631843.720229,,,,,yes
144,pt0294,294,41.8595553730200,2.65892410944400,471690.860119,4634239.238183,,,,,yes
145,pt0296,296,41.8821061625139,2.79353326191065,482869.386126,4636707.347590,,,,,yes
146,pt0298,298,41.8146105951966,2.52282748824570,460367.158450,4629303.019368,EDAR ARB?‹CIES,ES9170090001010E,348,,no
147,pt0300,300,41.9749746450623,2.80900400949527,484175.967088,4647015.333937,,,436,,no
148,pt0302,302,41.8658846204542,2.88104981314035,490128.169247,4634892.561261,,,432,,no
149,pt0304,304,41.8864614614197,2.26244225645551,438808.572580,4637433.262121,EDAR TARADELL,ES9082780005010E,,,no
150,pt0306,306,41.9475615886585,2.83973742114273,486716.541180,4643966.492904,,,417,,no
151,pt0308,308,41.9022479176598,2.73220864640286,477788.237941,4638957.682637,,,422,,no
152,pt0310,310,41.9545142442354,2.27129245282480,439607.038723,4644982.773249,EDAR VIC,ES9082980001010E,616,,no
153,pt0312,312,41.8632559991271,3.13119257910177,510888.288974,4634602.195448,,,385,,no
154,pt0314,314,41.7925553965585,2.80692557619821,483958.203594,4626762.318508,,,369,,no
155,pt0316,316,41.8720673502023,2.26085832102084,438663.396917,4635836.250152,,,,,yes
156,pt0318,318,41.9664188373473,2.29305705652364,441421.734503,4646289.419405,,,464,,no
