,activitat_,nom_abocam,ind_id,utm_x,utm_y,Niquel,Triclorometà,Plom,Diuron
172,"CODORNIU, SA",CODORNIU SA (PUNT 1_SORTIDA TRACTAMENT),142,399683.7316,4587490.342,142035.91095099997,4399.999399936799,1760.245663792,31.98437597784
173,AMPANS,AMPANS (DEPURADORA TORRE DEL GRAN),203,403893.8258,4616672.107,0.0,0.0,0.0,0.0
174,"SOLO PALETS, SL",SOLO PALETS SL (0502080144),170,407886.1565,4593297.659,13.74681602191781,0.0,8.34655043331507,0.0
175,"PAPELERA RIUDEVITLLES, SA",PAPELERA RIUDEVITLLES (SORTIDA REBUIG D'OSMOSI),139,391771.658,4585240.007,1730.1057,53.595347759999996,21.4411344,0.38959408799999995
176,"FLEXIPLAS, S.A.","FLEXIPLAS, S.A (SORTIDA DEPURADORA)",171,410136.3793,4594241.347,0.0,0.0,0.0,0.0
177,EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT),EMSHTR (DESSALADORA DE SANT BOI DE LLOBREGAT) - ABOCAMENT RIU LLOBREGAT-,94,420226.0878,4577908.271,0.0,0.0,0.0,0.0
180,"CARTONAJES INTERNATIONAL, SL",Abocament 022002000100,118,412822.129,4592063.604,2123.9509,0.0,643.8346240000001,0.0
181,"GRAMONA, SA","GRAMONA, SA  (SORTIDA DE LA DEPURADORA)",135,397723.8601,4585893.33,11534.038,357.30231839999993,142.940896,2.59729392
182,"CEMENTOS MOLINS INDUSTRIAL, SA",CEMEX SANT FELIU DE LLOBREGAT ABOCAMENT A BARRANC DEL SARDANET 2,99,421097.1418,4583062.264,0.0,0.0,0.0,0.0
184,"CAMPSA ESTACIONES DE SERVICIO, SA",021998000352 - AB 1,179,414201.2978,4601718.267,0.0,0.0,0.0,0.0
185,REMAR CATALUNYA,REMAR CATALUNYA (SORTIDA DEPURADORA),121,407160.2782,4590466.592,0.0,0.0,0.0,0.0
186,ASOCIACIÓN RETO A LA ESPERANZA,ASSOCIACIÓ RETO A LA ESPERANÇA (SORTIDA DEPURADORA),176,412894.7168,4598887.2,0.0,0.0,0.0,0.0
187,"IBERINOX 88, SA","Abocament 3 IBERINOX 88, SA Riera de la Salut aigües pluvials",100,420806.7904,4582699.306,0.0,0.0,0.0,0.0
188,"FCC CONSTR. I SERVIÀ CANTÓ, SA (UTE VAR. VALLIRANA)",UTE VALLIRANA (SORTIDA TRACTAMENT FÍSICOQUÍMIC),106,411805.8994,4582336.349,0.0,0.0,0.0,0.0
189,"SOLER & DEGOLLADA, SA",022002000029-Torrent Sabanell,139,391771.658,4585240.007,1153.4038,35.730231839999995,14.294089600000001,0.259729392
190,"HOTEL EL BRUC, SL",HOTEL EL BRUC SL (SORTIDA DEPURADORA),184,399683.7316,4602589.365,0.0,0.0,0.0,0.0
191,"CLEMENTE SAURA, PEDRO","CLEMENTE SAURA, PEDRO (SORTIDA TRACTAMENT)",108,418483.9798,4586691.836,0.0,0.0,0.0,0.0
192,"COMERCIAL CATALANA DE MAQUINARIA TEXTIL, S.A.",COMERCIAL CATALANA DE MAQUINARIA TEXTIL SA,187,406071.4607,4600048.664,0.0,0.0,0.0,0.0
193,"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE AP-7 GELIDA SORTIDA 26 (SORTIDA TRACTAMENT),128,405272.9946,4589377.72,0.0,0.0,0.0,0.0
195,CONSORCI PAR DE COLLSEROLA,Abocament CONSORCI PARC DE COLLSEROLA (022000000131),598,417540.338,4585820.739,0.0,0.0,0.0,0.0
196,MINISTERIO DE FOMENTO - UTE AUTOVIA B-40,MINISTERIO DE FOMENTO - UTE AUTOVIA B-40: TORRENT DE SANT JAUME,175,411370.3724,4598088.695,0.0,0.0,0.0,0.0
197,"DHL SUPPLY CHAIN (SPAIN), SLU",ABOCAMENT EMPRESA DHL - TORRENT INNOMINAT AFLUENT DEL RIU ANOIA,128,405272.9946,4589377.72,0.0,0.0,0.0,0.0
199,"ANODICOLOR, SLU",RIERA DEL PALAU (ANODICOLOR),117,413910.9465,4591192.506,0.0,0.0,0.0,0.0
200,"MB. PAPELES ESPECIALES, SA","ABOCAMENT MB PAPELES ESPECIALES, RIU ANOIA",155,388432.6177,4599758.298,790658.3049000001,24493.073926319994,9798.598420799999,178.044498216
201,AMPANS,AMPANS (DEPURADORA TORRE DEL FILL),203,403893.8258,4616672.107,0.0,0.0,0.0,0.0
202,AJUNTAMENT DE SANT LLORENÇ D'HORTONS,POLÍGON INDUSTRIAL CAN SERRA III (SORTIDA DEPURADORA),130,402442.0691,4591991.012,0.0,0.0,0.0,0.0
203,"SUCESORES DE CERAMICA DE PAPIOL, SA","SUCESORES DE CERAMICA DE PAPIOL, SA (SORTIDA DEPURADORA)",111,416015.9936,4587635.525,0.0,0.0,0.0,0.0
204,AJUNTAMENT DE PIERA - BARRI CAN BONASTRE,AJUNTAMENT DE PIERA - BARRI CAN BONASTRE: TORRENT DEL QUELÓ (DESGUASSA EN EL TT DE SANTA MAGDALENA),149,396925.394,4590539.183,0.0,0.0,0.0,0.0
205,"SNOP ESTAMPACION, SA","RIU ANOIA (SNOP SYSTEMS CATALUNYA, SA)",157,389594.023,4601355.31,0.0,0.0,0.0,0.0
206,JUNTA DE COMPENSACIÓ POLI.INDUSTRIAL CAN BAS,POLIG.IND. CAN BAS - AJUNTAMENT (SORTIDA DEPURADORA),136,397070.5696,4583788.178,0.0,0.0,0.0,0.0
207,"FERRER VILARRUBI, SA","022001200002-FERRER VILARRUBÍ,SA",151,391699.0701,4596419.091,0.0,0.0,0.0,0.0
208,"J. VILASECA, SA","TORRENT FONT DE LA REINA (J.VILASECA, SA)",153,390755.4283,4599685.706,57670.19,107764.0,714.70448,12.986469599999998
209,MANCOMUNITAT INTERMUNICIPAL PENEDÈS I GARRAF,MANCOMUNITAT INTERMUNICIPAL PENEDES-GARRAF. TORRENT DE PUIGCOGUL,147,384077.3478,4592353.97,0.0,0.0,0.0,0.0
