activitat_,nom_abocam,Punt2
ACABADOS FUNDICION S.L.,Abocament AA2002000530,203
"COMPAÑIA ESPAÑOLA DISTRIBUIDORA DE PETROLEOS, S.A CEDIPSA",ES SANT JORDI: RIU CARDENER,203
EDAR SANT PERE SACARRERA,ABOC EDAR SANT PERE SACARRERA,150
"FUNDEL, SL",Abocament 021999001824,203
"ALBET I NOYA, SL",ALBET I NOYA SL (SORTIDA TRACTAMENT),137
"AUDI TOOLING BARCELONA, SL","AUDI TOOLING BARCELONA, SL",170
"SOLER JOVE, SL",Abocament SOLER JOVÉ - Torrent de Prunamala,135
"ELECTRODOMESTICOS DE CATALUNYA, SA","TORRENT DE CAN BARGALLÓ (ELECTRODOMESTICOS DE CATALUNYA, SA)",170
URBANITZACIÓ DE CAN BORULL,Abocament: URBANITZACIÓ DE CAN BORULL - Riera de Vallvidrera,109
"MECANIZADOS BUSQUÍ, SL",POL IND SUD A RIERA RUBI,112
S.A. TINTES TEXTILES-81,"TINTES TEXTILES, SA (SORTIDA PROCES I SANITARIES)",187
"G&P LA ROQUETA 21, S.L.","AA2003000015 ASSE-INM-FARMA (Golf la Roqueta, Castellgalí)",202
"CERAMICA ELIAS, SA",CERAMICA ELIAS (SORTIDA DEPURADORA),184
CENTRE PENITENCIARI CAN BRIANS,CENTRE PENITENCIARI CAN BRIANS I i II. Sortida depuradora,121
"TORELLO LLOPART, SA",TORELLO LLOPART SA (SORTIDA DEPURADORA),132
EDAR EL PRAT DE LLOBREGAT,EMSHTR EDAR DEL PRAT (MANTENIMENT CABAL AL RIU),96
AJUNTAMENT DE SANT ESTEVE SESROVIRES,SECTOR RESIDENCIAL CAN BARGALLÓ - AJUNTAMENT DE SANT ESTEVE SESROVIRES (SORTIDA DEPURADORA),121
"CEMENTOS MOLINS INDUSTRIAL, SA",CIMENTS MOLINS EXTRACTIVA LA FOU (SORTIDA FOSSA SÈPTICA),107
"PAHI, SL","PAHI, SL",103
ESCOLA DE VITICULTURA I ENOLOGIA MERCE ROSSELL I DOMENECH,Abocament ESCOLA ESPIELLS - DIPUTACIO DE BARCELONA (torrent d'Espiells),134
CENTRE DE TELECOMUNICACIONS A MONISTROL DE MONTSERRAT,AA2003002170 MONTSERRAT,189
"CERAMICAS AGUILAR, SL","CERAMICAS AGUILAR, SA (SORTIDA FOSSA SÈPTICA)",108
"BAGESPIN, SL","BAGESPIN, SL (SORTIDA SANITÀRIES)",192
"BCNONWOVENS, SL","BC NONWOVENS, SL",146
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITÀRIES LAVABOS DMI)",153
"ROIG PUJOL, MARIA TERESA",MARIA TERESA ROIG PUJOL (sortida depuradora) - torrent del Carner,194
JUNTA COMP. SECTOR CAN MARGARIT,JUNTA COMPENSACIÓ SECTOR CAN MARGARIT: TORRENT DE CAN MARGARIT,121
"ALBERGUE 4 ESTACIONES, SL","ALBERGUE 4 CAMINOS, SL (SORTIDA DEPURADORA)",103
"ABELLO LINDE, SA",ABELLO-Abocament,112
"MUDANZAS CORASE, SL",TORRENT DE CAN BARGALLÓ ( MUDANZAS CORASE),121
"VINS GRAU, SL",VINS GRAU SL (SORTIDA DEPURADORA),198
PLAÇA GERMANS MOLINS RIBOT,"ÀMBIT REHABILITACIÓ, SL I JULIO FERNANDEZ CHICHARRO (SORTIDA DEPURADORA)",107
"VOLCATALAN, SA","TORRENT DELS LLOPS  (VOLCATALAN,SA)",131
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 4)",120
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITÀRIES NAU CONVERTING, ZONA CAMIONERS)",153
"AIGÜES DE CASTELLBISBAL EMPRESA MIXTA, SL (CASTELLBISBAL)",AIGÜES DE CASTELLBISBAL SA _ETAP (SORTIDA TRACTAMENT FANGS),117
"DICEPA HIGIENE, SL","DICEPA HIGIENE, SLU (SANITARIES NAU FABRICACIÓ PAPER)",153
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 1 URBANITZACIO FINCA OASIS - riera de Sant Jaume,173
"COGENERACION UFIC, SA",ABOCAMENT COGENERACION UFIC (POLIGON LA RATA),154
"NELVI, SCP","NELVI, SCP (ANTIC BATALLA SANT CRISTÒFOL, SL - SORTIDA DEPURADORA)",189
"AUTEMA, SA",AUTEMA SA (TRACTAMENT DE LES CABINES DEL PEATGE PRINCIPAL DE TERRASSA-LES FONTS),114
"MASIA CAN FONT, SL","MASIA CAN FONT, SL",194
"JEAN LEON, SL","JEAN LEÓN, SL  (SORTIDA DEPURADORA)",141
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (SORTIDA TRACTAMENT 5)",120
"PRUDENCIA ANDA BALLESTA,MIGUEL ROVIRA GALIMANY,MIGUEL I MARTA ROVIRA ANDA",PRUDENCIA ANDA BALLESTA (MASIA CAN BARATA),115
MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA,MINYONS ESCOLTES I GUIES SANT JORDI DE CATALUNYA,94
PARC LOGÍSTIC DE L'ALT PENEDÈS,Abocament PARC LOGISTIC DE L'ALT PENEDES - riu Anoia,134
ENS D'ABASTAMENT D'AIGUA TER LLOBREGAT (PLANTA ABRERA),AIGÜES TER LLOBREGAT (SORTIDA NETEJES FILTRES + MERMES + SANITÀRIES),172
"UNITEX, SA (UO-LF)",RIU LLOBREGAT (SA LA FOU),187
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU (PK. 171,5, SORTIDA 25), SORTIDA DEPURADORA",120
"LLOC NOU, SCCL","LLOC NOU, SCCL: RIERA DE VALLPARADÍS",116
"SEGURA VIUDAS, SA","Abocament SEGURA VIUDAS, SA - Riera de Riudebitlles",144
"HOLCIM (ESPAÑA), SA","HOLCIM HORMIGONES, SA",117
EDAR EL PRAT DE LLOBREGAT,ZONES HUMIDES DELTA DEL LLOBREGAT - ABOCAMENT D'AIGUA DE L'EDAR DEL PRAT,96
ACONDICIONAMIENTO TARRASENSE (LEITAT),ACONDICIONAMIENTO TARRASENSE-CENTRE TECNOLOGIC LEITAT (SORTIDA EDAR),116
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH,Abocament DEPURADORA JUNTA COMPENSACION PLAN PARCIAL MASIA BACH Torrent del Llop,170
"SPAN DECK CATALANA, SA",SPAN DECK CATALANA SA (sortida depuradora)- Torrent del mal,184
JUAN MIQUEL PADIAL FERNANDEZ,RIU ANOIA ( JUAN MIGUEL PADIAL FERNANDEZ),170
"ELIS MANOMATIC, SA","ELIS MANOMATIC (SORTIDA DEPURADORA, SANITÀRIES I NETEJA)",121
AJUNTAMENT D'HOSTALETS DE PIEROLA,AJUNTAMENT D'HOSTALETS DE PIEROLA_POLÍGON INDUSTRIAL MAS D'EN PI (SORTIDA DEPURADORA),184
"PETRONIEVES, SL","PETRONIEVES, SL",171
"CARRERAS GRUPO LOGÍSTICO, SA","CARRERAS GRUPO LOGÍSTICO, SA: TORRENT DEL BAGANT",131
FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR,FUNDACIÓ CATALANA PER L'ESPORT DEL MOTOR -SORTIDA SANITÀRIES OFICINES- (SORTIDA TRACTAMENT),159
FUNDACIÓ MERCE FONTANILLES - CENTRE ACOLLIDA ESTREP,Abocament FUNDACIO MERCE FONTANILLES - torrent innominat,201
"SYNTHESAR, S.A.","SYNTHESAR, S.A. (ABOCAMENT TORRENT CAN PAU PERE)",170
INCASOL,POLÍGON INDUSTRIAL RIERA DE CASTELLOLÍ - INCASÒL (SORTIDA DEPURADORA),158
"AMAT-3, SA","TORRENT CUBILET (AMAT-3, SA)",171
"BARDINET, SA",BARDINET (SORTIDA RESIDUALS),128
COMUNITAT PROPIETARIS VINYES DEL TURÓ,COMUNITAT DE PROPIETARIS VINYES DEL TURÓ (ABOCAMENT LLERA),170
"RESIDUOS ALTERNATIVOS DE CATALUÑA, SL","RESIDUOS ALTERNATIVOS DE CATALUÑA, SL",185
JUNTA DE COMPENSACIÓ PLAN PARCIAL MASIA BACH,Afluent de Can Sitges CLUB DE GOLF MASIA BACH 022000000281,170
"DIDAC SYSTEMS, SL.","Abocament de DIDAC SYSTEMS, SL (02200100044)",119
"BUTANO MARTORELL, SA","BUTANO MARTORELL, SA",120
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU",PEATGE MARTORELL SORTIDA 25 EDIFICI E (SORTIDA TRACTAMENT),120
ASOCIACION PROPIETARIOS PARCELISTAS FINCA OASIS,Abocament 2 URBANITZACIO FINCA OASIS - riera de Sant Jaume,173
"MB. PAPELES ESPECIALES, SA","MB PAPELES ESPECIALES, SA (SORTIDA EDAR PROPIA)",155
"ATLAS GESTION MEDIOAMBIENTAL, SA","ATLAS GESTION MEDIOAMBIENTAL, SA",159
"AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU","AUTOPISTAS CONCESIONARIA ESPAÑOLA, SAU  (PK 171,5): ABOCAMENT A LLERA",120
COMUNITAT DE PROPIETARIS PARCELA I,COMUNITAT DE PROPIETARIS PARCEL·LA 1-AA2003001551,169
ANA Mª MUÑOZ COTES (RESTAURANT-BAR PONT DEL GAT,"021997000472 - AB 1 (torrent del Soldat, afluent del riu Llobregat)",190
"DS SMITH PACKAGING DICESA, SA","BLACAR, SA (SORTIDA SANITÀRIES)",146
"FRAGNOR, SL",FRAGNOR (PLUVIALS POTENCIALMENT CONTAMINANTS),152
"CAL PUJOLET, SCP","Abocament CAL PUJOLET, SCP - riera de Marganell",194
"SEGARRA GUITART, PEDRO (ESCORXADOR D'AUS I CONILLS)",Abocament PERE SEGARRA GUITART - Torrent Mas Rovira,141
"PAGES DE ROFES, SL",PAGÈS DE ROFES (SORTIDA DEPURADORA BIOLÒGICA),148
